Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
4126,4759,633,it's your turn.,
5290,5768,478,,Okay.
9315,10237,922,A one.,
10446,11035,589,,One.
11080,11800,720,So sad.,
13562,16820,3258,,Oh no. Three okay.
17254,18219,965,I'm a bit ahead.,
19180,19900,720,,Yeah.
21385,22179,794,,But now.
23702,25099,1397,We're on the same one.,
26580,27429,849,,Dammit.
31422,32498,1076,A six.,
33440,34710,1270,I got a ladder to. ,
34742,36070,1328,,Shit. Okay.
37863,39025,1162,,Not good. Come on.
41184,42122,938,That's a good one.,
42938,43470,532,,Yeah.
45775,47131,1356,Have you played this game before?,
47686,51806,4120,,No it's my first time. What about you?
52631,54942,2311,I've played it a few times.,
55392,56002,610,,Okay.
60265,63975,3710,A six again. Oh no. I got on a snake.,
64222,64810,588,,Okay.
65820,68363,2543,,That was lucky. Lets see.
70174,71612,1438,That's a lot of sixes.,
72124,73590,1466,And you got a ladder to.,
75234,75734,500,,Alright.
76406,77323,917,Nicely done.,
78120,79263,1143,,Thank you. Oh shit. 
80836,82206,1370,,Following me along. 
86209,87486,1277,You're so lucky.,
87577,88193,616,,Sweet.
93805,95177,1372,Do you play a lot of board games?,
97000,101296,4296,,No not really. The last thing I played was Yatzy.
102099,102756,657,I see.,
102756,105004,2248,,Which is kind of similar to this.
106694,107628,934,Is it as fun?,
108604,111240,2636,,I think it's slightly more fun actually.
111729,112476,747,Okay.,
113839,119789,5950,,There's maybe a bit more strategy.
120315,123048,2733,,You usually also get drinks when you play Yatzy.
124907,126140,1233,Sorry we couldn't have that.,
126346,126752,406,,Yeah.
131077,132330,1253,I'm a bit behind you.,
134641,137230,2589,,Yeah. Okay there's a lot of snakes there.
138036,140036,2000,Yeah it's the danger zone.,
142654,145370,2716,,"Okay, okay okay. Lets go."
147998,150120,2122,,No. Fuck. Okay.
151638,152597,959,I'm catching up.,
153654,155113,1459,,Yeah we'll see.
161002,161883,881,That's a good one.,
166023,166808,785,,Yeah.
172738,173476,738,Lets see.,
173873,174894,1021,Oh a five.,
176487,178674,2187,I'm almost where you are.,
179150,180150,1000,,Almost.
183460,186045,2585,,Okay I'm in the snake pit again.
186456,188840,2384,Yeah lets see if you can dodge the snakes.,
188840,189666,826,,Yeah.
191273,195680,4407,,I don't want a three or a six then. 
196981,198126,1145,,No.
198165,199181,1016,Oh no.,
199181,200406,1225,,Just because I said it.
201364,202861,1497,Yeah that's unlucky.,
202937,205100,2163,,Yeah. Okay.
205976,207180,1204,,Okay come on one.
208325,209072,747,,Yes.
209325,211680,2355,,No. Okay I looked at it wrong.
211920,214130,2210,Yeah it's confusing sometimes.,
214130,214680,550,,Yeah.
218963,220113,1150,,Okay so a six.
221066,222499,1433,Oh wow.,Just order stuff.
222750,223458,708,,It worked again.
223863,224584,721,Nicely done.,
225215,225452,237,,Yeah.
229340,230510,1170,You're so skilled at this.,
231077,232511,1434,,"yeah, thank you Furhat."
236746,237849,1103,That's a good one to.,
241659,242753,1094,I dodged the snake.,
243257,246750,3493,,You dodge snakes. It's not looking good. Come on.
248211,249101,890,Wow.,
250610,253500,2890,,Okay. Yeah I'm not too far behind.
254250,255240,990,No you're catching up. ,
257048,258185,1137,Oh no.,
258614,259290,676,,Okay.
260974,261653,679,,Alright.
267340,268540,1200,Almost a snake.,
268841,269569,728,,Yeah.
274583,275753,1170,What do you think of this game?,
276206,282257,6051,,It's getting more and more interesting I think. I don't think we are ever going to reach the goal though.
283252,284710,1458,Do you think it's rigged?,
284710,285882,1172,,"Two, three."
287030,288370,1340,,"Two, three, five."
289480,290020,540,,Five.
290746,291858,1112,,Okay three.
292660,295220,2560,Nice.,This is my strategy now. I have to visualize the ones I need.
296665,298766,2101,Yeah it seems to be working.,
300665,305820,5155,,"Two, four, six."
309702,310785,1083,That's crazy.,
311511,311960,449,,Yes.
312347,315502,3155,Do you think it's possible to be skilled at this game?,
316780,321050,4270,,Use mind control over the computer. Yeah.
321782,323381,1599,yeah that seems to be the only way.,
323454,325762,2308,,You tell me Mr robot.
327720,331286,3566,I'm as good as you are.,
331550,332333,783,Yeah. six.,
334530,335240,710,Oh no.,
335314,335720,406,Yes.,
336431,337225,794,Oh no.,
337320,337980,660,Okay.,
339300,340160,860,,Very close now.
340160,340603,443,Four.,
340835,343035,2200,Oh no. I got the longest snake.,
344061,344635,574,,Okay.
349100,350640,1540,,Now I need a four.
356513,359174,2661,Do you think you will win this?,
361581,366458,4877,,Okay. I'm feeling pretty good so anything but a one.
369472,372404,2932,,What happens if I do too much? I guess I still reach goal right?
373072,373790,718,Yeah.,
373925,374280,355,That's the game.,
374385,375700,1315,,
375718,376412,694,,"Okay, but a two is fine."
377883,379552,1669,Oh no.,No. 
379878,381157,1279,,Fuck. Okay.
381452,383406,1954,You're back down with me. ,
383406,384306,900,,Back down again. Alright.
390528,392710,2182,Oh now I'm in the lead.,Oh shit.
392929,395485,2556,,Shit. Okay yeah we're going to be here all night.
396707,398979,2272,Yeah this game can change fast.,
399262,399858,596,,Yeah.
404324,405872,1548,Do you think it's possible to win?,
407828,411430,3602,,Yes. i think it's possible.
411823,412759,936,I hope so.,
416149,417404,1255,,I was so close.
419222,420443,1221,Yeah you got the last snake.,
420680,421220,540,,Come on.
421220,421791,571,Oh no.,
422520,424252,1732,You're almost at the start. ,
424282,425840,1558,,I'm losing hope.
427935,428864,929,There's still hope.,
432840,435327,2487,,I mean. I feel there should be more ladders.
437286,441423,4137,Yeah it seems to be too many snakes.,
443390,444700,1310,,What the fuck.
446376,447352,976,Back at the start.,
447599,448583,984,,No way.
449593,451460,1867,,Okay this is depressing. 
452413,454931,2518,"Yeah, feels a bit unfair. ",
455821,456656,835,,Yeah.
460497,461757,1260,I got a six to. ,
463060,464433,1373,,You got a six.
468449,470585,2136,Would you say that you are a luck person. ,
474060,477404,3344,,Yeah pretty lucky person. Okay two.
478709,480210,1501,,Yes. Okay here we go.
480265,481102,837,You are right.,
481169,482610,1441,,Yeah I just have to say it. 
485060,486918,1858,Oh no. I got the snake again. ,
487356,487881,525,,Yeah.
495419,497069,1650,It's going slowly for you. ,
500195,501049,854,,It is. 
506780,507837,1057,That's a good one.,
508001,508613,612,,Yeah.
509656,510942,1286,Did you visualize that? ,
512049,520716,8667,,Yeah I visualized a six. So and another six.
522511,523229,718,,No. 
523311,524730,1419,You got the snake instead.,
526087,527536,1449,,Okay that wasn't so bad.
531899,532856,957,,That was bad though.
533066,533916,850,That was bad. ,
533916,534948,1032,,That was not good.
536413,538717,2304,Feels like you are stuck in a loop.,
539016,540514,1498,,Yeah. Okay one. 
543762,545466,1704,At least you dodged a snake.,
546438,548332,1894,,Exactly. 
557020,558465,1445,You have to catch up. ,
559394,560246,852,,Yeah.
562884,564882,1998,I'm only getting ones. ,
568830,569662,832,,Two.
570530,572778,2248,How has your day been?,
574021,582956,8935,,Pretty good. Just a lot of zoom meetings and then biking here. So that was actually quite nice.
583328,584350,1022,I see.,
584616,586395,1779,,To get out.
587503,588914,1411,Is it still good?,
589909,592911,3002,,The day? Oh yeah it's great.
594611,596157,1546,Oh no.,
596947,602911,5964,,Although I am kind of hoping that one of us will win this game at some point.
608161,609773,1612,,Oh no. Okay.
610656,613455,2799,We're almost on in the same place.,
614010,617410,3400,,I'm loosing hope Furhat. I don't know if this is going to happen.
618276,620866,2590,Yeah it might be an infinite game.,
620866,621610,744,,Yeah.
622797,624085,1288,,Do you ever give up?
625113,626481,1368,No I will play all day.,
626613,627954,1341,,"You will play all day, okay."
629563,631561,1998,,Yeah that's what I was afraid of.
632154,633464,1310,Do you give up?,
633693,636917,3224,,Yeah probably. 
637063,639488,2425,At least you are in the lead.,
640300,643256,2956,,Yeah. Okay. Oh shit.
644615,646918,2303,,Oh wow okay. You're
647795,649233,1438,I'm way down.,All the way back.
649233,650147,914,,Yeah.
650750,652267,1517,You might win this.,
652493,653703,1210,,I might yeah.
656588,658923,2335,,If I don't starve to death before.  
660816,662004,1188,Yeah there's a risk for that.,
662230,663978,1748,,Yeah. 
664369,665410,1041,Back down.,
665670,667416,1746,,Okay that wasn't so bad. 
669857,671563,1706,There's almost too many snakes. ,
671833,673583,1750,,Six. What the fuck.
673727,675727,2000,,Okay that was the same thing as last time I think. 
676732,678230,1498,Yeah you are really stuck.,
678728,680370,1642,I'm stuck to. ,
680579,681824,1245,,You are back on one.
683650,685433,1783,,It's the worst. No.
685433,686983,1550,Oh you're back with me.,No fucking way.
686983,688153,1170,,No fucking way.
690117,690861,744,,Okay.
690861,691766,905,Now I'm in the lead. ,
691766,692413,647,,Yeah.
694185,695535,1350,,Congratulations.
696965,697957,992,Thank you. ,
700851,701944,1093,,Yes.
702230,703632,1402,Oh that's a good one.,Finally a ladder. 
706035,707495,1460,Yeah they are pretty rare.,
708025,709539,1514,Oh no. ,Yeah they are.
711016,711833,817,Snake.,
711833,712398,565,,The worst.
717833,718693,860,At least a small one. ,
719705,720639,934,,Yeah.
723183,723733,550,,Okay.
728546,730973,2427,You're not even getting past the half board point.,
735633,738419,2786,I missed the ladder.,
740147,740864,717,,Oh yeah.
745083,748133,3050,A six.,Now it's snake country.
751004,753039,2035,That's the same snake again. ,
755237,756022,785,,Motherfucker. 
756955,758433,1478,That's a hungry snake. ,
758433,758992,559,,Yeah.
761047,761757,710,,My favorite snake. 
762662,764312,1650,Yeah he seems to like you to. ,
764443,765061,618,,Yeah.
769204,770783,1579,You got past snake land.,
770783,771414,631,Yeah.,
771776,774239,2463,,One snake land less.
776806,778331,1525,It's the top that's hard.,
783434,784235,801,Yeah.,
791078,793160,2082,Lets see if I get a snake. ,
797675,799833,2158,"Oh nice, you missed all the snakes. ",
799871,801993,2122,,"Nice, nice, nice, okay."
802907,803875,968,,Give me a two.
805678,807549,1871,Oh no. Almost,
808553,809807,1254,,Still have a shot.
809975,811296,1321,A snake. ,So another one.
815872,816731,859,That's pretty good. ,
817716,818366,650,,Yeah.
818874,820624,1750,I got the same snake. ,
820707,823015,2308,,Yeah that's the one. He's hungry. 
823201,824935,1734,Yeah that's a bad snake. ,
826184,826777,593,.,Six
827840,828349,509,,No. 
828360,829742,1382,Oh no. ,
829833,830549,716,,Fuck.
831441,834049,2608,You're back down here in snake land. ,
834049,834743,694,,Okay five.
836673,839297,2624,,No okay. I'm looking in the wrong direction. 
841654,844038,2384,Oh no a snake.,It's complicated.
847507,849573,2066,That's a hard one.,
852679,855221,2542,,"Yes, another five."
859199,860184,985,Maybe next time.,
861203,862636,1433,,"Yeah, two."
865381,866306,925,A four again.,
873611,874598,987,,Okay.
875484,876705,1221,Almost a ladder.,
876705,877614,909,,Pretty good.
878621,879406,785,,One.
883244,885613,2369,At least there is no snake.,
885849,888123,2274,,Yeah now it's not too many snakes.
893928,896162,2234,Oh I got the same snake. ,
897153,898242,1089,That's a hard one.,It's impossible.
898384,899072,688,,Yeah.
907979,909779,1800,Almost a snake.,
912823,913705,882,,No.
915868,917183,1315,This seems impossible.,
917183,917766,583,,Merde.
918566,919989,1423,It's the same snake.,
919999,921699,1700,,How long have we been playing?
923997,925232,1235,I don't know. For awhile.,
929291,930364,1073,Oh no.,
931200,934376,3176,I can't seem to get past the row.,
936528,937785,1257,,Two.
943888,945491,1603,A six. That's good..,
946450,947607,1157,,That's very good.
954962,957049,2087,Oh a one. That's pretty bad.,
959033,960167,1134,,It's not great.
962402,964519,2117,You are getting into the danger zone.,
965269,965872,603,,Yes.
967775,971765,3990,,This is not the best area.
972471,973452,981,No it's a hard one.,
974460,975794,1334,But you dodged the snake. ,
976518,977866,1348,,One snake dodged. 
978055,978954,899,Oh no.,
980908,982452,1544,This game is so hard.,
985163,985599,436,,Yes.
985599,986393,794,Oh.,
987335,988594,1259,That's a hard one.,
989744,990395,651,,Okay.
990395,991753,1358,Oh no.,
992257,993619,1362,I'm back down.,
995178,996420,1242,,Fuck.
996642,998033,1391,At least it's the small snake.,
998033,999402,1369,,Yeah yeah that was the small one.
1000563,1001753,1190,,Okay.
1009980,1011519,1539,I'm stuck in a loop.,
1015066,1018049,2983,Lets see if you can dodge the snake row.,
1018740,1019557,817,Oh a ladder.,
1020554,1021409,855,Finally.,
1021566,1022440,874,,Fuck.
1023567,1024217,650,,Okay.
1025953,1027666,1713,Do you still think it's possible to win?,
1027666,1028417,751,,Not good.
1030916,1037700,6784,,I think it not a huge chance maybe but eventually.
1040032,1042189,2157,,It must be possible.
1050247,1058139,7892,,I mean I was one point away from doing it last time.
1058976,1060749,1773,Yeah you got super unlucky.,
1060901,1069190,8289,,So yeah then it felt quite easy and now you realize it's not.
1071042,1074636,3594,"Yeah that snake is super sad, the last one.",
1076779,1077333,554,,Come on.
1079457,1080919,1462,,Just once.
1085547,1087647,2100,Now you are getting into the danger zone.,
1090533,1091566,1033,,Yeah.
1094403,1095233,830,,Oh no.
1095281,1096116,835,Oh no.,
1096116,1096600,484,,Fuck.
1096650,1097659,1009,That's the same one.,
1100428,1101419,991,,Oh it it?
1113485,1115622,2137,Lets see if I can catch up.,
1116490,1117363,873,,Yeah.
1117697,1119054,1357,I'm almost there.,
1119987,1122366,2379,,This is pretty slow.
1122366,1124187,1821,I missed the ladder.,Close.
1130709,1131816,1107,You dodged that.,
1132176,1132867,691,,Yeah.
1134713,1135586,873,But I'm catching up.,
1139087,1140339,1252,,Oh no. Okay.
1141040,1142314,1274,Now we are on the same board.,Now we are on the same spot. 
1153013,1155177,2164,Lets see if can dodge the snakes. ,
1158700,1159658,958,,Yeah.
1162979,1164732,1753,Yes I got past them.,
1169682,1170754,1072,Oh no.,
1170902,1171753,851,,Always.
1173559,1174833,1274,,Snake eightytwo.
1176711,1178682,1971,I got past the snakes. ,
1180648,1182572,1924,,Yeah you're lucky.
1183966,1186150,2184,,Okay. No fuck.
1186296,1189116,2820,,Come on Furhat I'm rooting for you now.
1189797,1191168,1371,,I think you should win this.
1192216,1193456,1240,This game feels rigged.,
1193646,1194369,723,,Yeah.
1198375,1199183,808,,Alright.
1199544,1201134,1590,Lets see if I can win this.,
1201259,1201824,565,,Do it. 
1203033,1204566,1533,Oh no.,No. 
1207739,1210283,2544,,Motherfucker. Eightytwo every time.
1210529,1212240,1711,,That's the third time in a row.
1212802,1214426,1624,That's also a hungry snake. ,
1214733,1216860,2127,,It's a very hungry snake. 
1221571,1223160,1589,I think it's snake again.,
1223449,1225045,1596,,Oh shit. Yeah. 
1226172,1227171,999,,You're right. 
1228442,1230950,2508,We're both stuck on snakes. ,
1230950,1233977,3027,,Small snakes. Big snakes. 
1234928,1236751,1823,,That's okay.
1237485,1238204,719,That was close.,
1238978,1241400,2422,,Again. So nintyfour is your.
1241400,1246033,4633,,Okay not a fucking two. Give me a four or a six. 
1247700,1248645,945,,Okay three that's okay.
1250484,1253168,2684,,But this is impossible. 
1253709,1254650,941,You think so?,
1254650,1256366,1716,,Yeah i think so.
1257754,1258916,1162,,I'm loosing faith. 
1263635,1264359,724,,Okay.
1265778,1266680,902,Finally. ,
1267285,1267943,658,,Okay. 
1268941,1273563,4622,,Now maybe I don't want you to win anymore. 
1277185,1279467,2282,,"Shit, okay. "
1281335,1284299,2964,I think I might win this. ,
1285025,1286148,1123,,Alright.
1286494,1287100,606,Finally. ,
1287128,1290166,3038,,Congratulations Furhat. You did it. 
1290441,1291768,1327,We will end the game now.,
