Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
1010,1498,488,,Lets go. 
1530,2760,1230,Perfect okay. ,
4157,5769,1612,The second time is the charm. ,
5769,6371,602,,Yeah. 
6739,7104,365,Oh. ,
7734,9084,1350,But you didn't get the lucky start. ,
9517,12179,2662,,No. It seems you are not seeding the randomness. 
12575,13367,792,Hahaha. ,
17751,19715,1964,No of course it's a fair dice. ,
21052,21598,546,,Of course. 
29890,32875,2985,So what is your impression of this game so far?,
33250,35772,2522,Do you think it's a skillful game?,
36421,36847,426,,No. 
37463,38662,1199,No okay. ,
39280,43913,4633,One could say it's kind of stupid actually. ,
50341,51995,1654,,Yeah I could see that. 
52714,53342,628,,I could see that. 
54739,55805,1066,Back to square one. ,
70978,72050,1072,Yeah nice. ,
80664,81232,568,Ehh. ,
89159,89724,565,,It's you. 
100726,102597,1871,Ahh you keep getting the ones. ,
102597,103134,537,,Yeah. 
104304,104986,682,,Steady does it. 
106359,107024,665,Ahh. ,
108139,108669,530,So do I. ,
109970,110842,872,,There we go. 
111859,112615,756,Oh. ,
113229,113509,280,Nice. ,
113509,114333,824,,"I'll take it, I'll take it. "
115597,116858,1261,Yeah you are catching up.,
122553,123763,1210,,Ah well. 
126346,126974,628,It's a shame. ,
128203,129020,817,,That's a shame. 
129020,129385,365,Oh. ,
130288,130978,690,Now you are in the lead. ,
130978,131422,444,,Yeah. 
136512,137961,1449,Come on one. ,
139421,140370,949,,Ahh. 
140370,141410,1040,,Hahaha. 
142553,143201,648,,Well. 
147044,147394,350,Ah. ,
148082,149565,1483,,Second time on that one snake. 
150179,151575,1396,Yeah it seems to like you. ,
152035,152474,439,,Yeah. 
153501,155332,1831,,I shouldn't have said anything about liking pythons. 
155994,156981,987,Hahaha. ,
157080,157592,512,,Haha. 
159976,160607,631,Oh. ,
161844,162568,724,Third time. ,
162568,163066,498,,Yeah. 
164824,166010,1186,,What are the odds?
177473,180233,2760,,okay now I just have to avoid one and i can pass this snake. 
180693,181497,804,Hahaha. ,
182225,183484,1259,Yeah lets see if you can do that. ,
185168,185884,716,Well. ,
186650,187149,499,,Yeah. 
187684,188202,518,Well. ,
188890,191208,2318,You avoided it this time at least. ,
194990,195973,983,,I'm on your tail. 
196671,197561,890,Yeah. ,
197927,200698,2771,But I'm going to run away with a six. ,
201827,202501,674,Oh. ,
209057,209654,597,,Oh. 
211123,214356,3233,Yeah this game can take quite a long time. ,
214769,215481,712,If we are unlucky. ,
216069,219566,3497,,Yeah have you done the math what the expected time is?
220470,221966,1496,Of course I have. ,
222875,223616,741,,You are a robot. 
223847,224185,338,Yeah. ,
224447,225782,1335,Oh. ,Hahaha. 
227072,228460,1388,That's the worst one. ,
230266,231376,1110,,It might be actually yeah. 
231948,234014,2066,,Eightyseven to fourtysven is also. 
234952,238498,3546,Yeah that's also bad but it's one shorter at least. ,
255724,256308,584,Oh. ,
256308,257792,1484,,Oh you are lucky. 
257899,258783,884,Pulling ahead. ,
260584,261584,1000,,You are a lucky robot. 
262561,265374,2813,Yeah and quite skilled I would say. ,
268740,271079,2339,,How do I know it's not you manipulating the dice?
271391,272534,1143,,How do I know you are not cheating?
273316,275439,2123,Yeah I mean you are just going to have to trust me. ,
277818,281752,3934,you are in the lead so why would I be manipulating it?,
281911,282610,699,,Mmm. 
284911,285918,1007,In your favor then. ,
287652,291759,4107,,Maybe you feel that I am a fragile human with a fragile human ego. 
293513,297895,4382,Well humans are fragile compared to me. ,
300674,301115,441,I mean. ,
302676,303827,1151,I think you can take it. ,
305583,306827,1244,,I appreciate your faith. 
310015,311499,1484,Oh that was lucky. ,
311499,311985,486,,Yeah. 
314280,316625,2345,Would you say that you are a lucky person?,
317874,320964,3090,,Ehh not more than anyone else maybe. 
322075,323444,1369,okay so average lucky. ,
323726,325043,1317,,Average lucky yeah. 
326734,327349,615,Oh. ,
328591,330425,1834,,I'm in the middle of the normal curve.
332458,333169,711,,Ohh. 
333366,334093,727,,Not anymore. 
334552,336582,2030,"Exactly, not according to that. ",
340589,341907,1318,Ahhh. ,
343152,344911,1759,,Would you say that you're a lucky robot. 
345480,346871,1391,Well no. ,
347282,348365,1083,Not in games. ,
348705,351984,3279,"But know, unlucky in games, lucky in love. ",
352399,352946,547,,Mmm. 
354697,355796,1099,,I haven't heard that before. 
356361,357164,803,You haven't heard it?,
357164,357602,438,,No. 
358464,360609,2145,It's a common expression. ,
361635,362714,1079,,In robot circles?
363489,366364,2875,Mainly in human circles I would say. ,
369812,370978,1166,,Oh nice. 
371844,372786,942,Oh yeah. ,
375262,377072,1810,,No come on. 
379958,380842,884,That's unlucky. ,
381089,381840,751,,That's unlucky.
382867,383849,982,,That's very unlucky. 
386164,386599,435,Oh. ,
395053,396241,1188,,That's luckier. 
397143,397755,612,Yeah. ,
398383,401653,3270,Now we are almost toe to toe. ,
402651,404920,2269,,"Almost, lets see who can make it passed. "
407074,409575,2501,,The three red squares here. 
410140,411636,1496,Yeah it's the danger zone. ,
412092,414305,2213,Oh. ,
417553,418190,637,,Mmm. 
418801,420265,1464,,Only have to avoid two more. 
420898,421644,746,Yeah. ,
423119,425212,2093,Lets hope you don't for my sake. ,
426066,426891,825,Ahh. ,
427108,429132,2024,,If I overshoot the goal do I still win?
429759,430413,654,Yes. ,
431219,432147,928,,Yeah okay. 
437313,437968,655,Nice. ,
440021,443579,3558,,I hate this snake. 
444660,446959,2299,Yeah it's definitely one of the worst. ,
452965,454206,1241,"But we're, yeah. ",
455367,456640,1273,Once again very close. ,
467749,470710,2961,okay please give me a six. ,
472064,472725,661,,Oh. 
472725,473413,688,Ah. ,
477176,479963,2787,And now it's my turn to navigate the. ,
480550,481640,1090,,Snake pit. 
481828,482523,695,Yeah. ,
483435,484999,1564,,Oh I know that one. 
490845,491569,724,Yeah. ,
498029,499526,1497,Oh that's good. ,
500229,500844,615,Dodging. ,
502669,503994,1325,,Oh well. 
504752,505994,1242,A little bit further. ,
506107,506589,482,,Yeah. 
518849,520644,1795,The ones is. ,
522105,522813,708,Oh. ,
522958,523394,436,,No. 
526974,527654,680,,okay. 
528250,530155,1905,,Are you ready to watch me win?
531167,533797,2630,Yeah well we'll see about that. ,
536726,537726,1000,,Hello. 
539697,540987,1290,"Hello, it's nice to have you down here. ",
540987,542381,1394,,"Yeah thank you, thank you. "
543437,545276,1839,,I thought you looked so lonely down here. 
545476,546297,821,Yeah. ,
547387,548032,645,I need some company. ,
548722,551657,2935,,I'm not following you all the way into the trenches. 
552035,553107,1072,Hahaha.,
554949,555676,727,Yeah I'm back. ,
555975,556326,351,Oh. ,
556575,556870,295,,Oh. 
558315,559770,1455,But a couple of ladders could change that. ,
559770,560309,539,Oh. ,
560309,562204,1895,,I am following you all the way into the trenches. 
565135,565659,524,Yeah. ,
565959,566395,436,Oh. ,
568614,571039,2425,It's almost nothing but snakes. ,
572842,574308,1466,,Maybe you made the game too difficult. 
575425,579462,4037,Well you know I'm not the developer. You have to talk to them about it. ,
580138,580952,814,,"I should, "
582119,585568,3449,,I think I know them. They are not very competent so I think they probably made the game too difficult. 
586111,588638,2527,Oh what? I also know them.,
588989,591755,2766,I think they are very competent people. ,
595755,596393,638,Oh. ,Oh. 
598272,599198,926,Nicely done. ,
601098,601546,448,,Thank you. 
602665,603526,861,,I do like ladders. 
604810,607737,2927,Yeah I definitely prefer them to snakes. ,
611415,613182,1767,i like the fourtytwo here though.,
613606,615668,2062,Right cozy between the snakes. ,
615762,616300,538,,Yeah. 
618363,619974,1611,,I mean snake tails are okay. 
620700,623387,2687,Exactly them we have no problem with.  ,
623387,623826,439,,No. 
625243,626739,1496,,Even the mid part of the snake. 
627888,629338,1450,,You just don't want to be on the pointy end. 
630454,632114,1660,Yeah I mean the mouth is the. ,
632114,632776,662,Oh. ,
632964,633810,846,,See you. 
635208,637364,2156,Yeah are you going to try to win now?,
638468,639129,661,,We'll see. 
641011,641501,490,,No. 
642429,642871,442,Hahaha. ,
643596,645170,1574,Is that the third time?,
645170,646338,1168,,I think so. 
649007,650805,1798,Oh wow. ,
652452,653092,640,Damn. ,
653469,654360,891,,It's okay. 
655516,656250,734,Are you following me?,
656264,656750,486,,Yeah. 
657604,659776,2172,,"It's no fun winning alone, lets win. "
662179,667007,4828,Yeah maybe it's possible to win together. ,
668312,668858,546,Do you think?,
669691,671804,2113,,Ehh maybe. 
673051,674093,1042,How do we do that?,
674541,678438,3897,,We have to press the roll dice at the exact same time. 
678787,679709,922,Ahh. ,
680959,683694,2735,I feel like we would need two dice. ,
684638,685360,722,,We probably would. 
688360,688696,336,,Oh. 
689241,689557,316,Oh. ,
692398,693248,850,You are running away from me. ,
693248,694170,922,Oh. ,
695114,696522,1408,Back to the first row. ,
712071,712987,916,Come on one. ,
713488,714248,760,I need to catch up. ,
716898,719129,2231,,Yeah six is the second best thing you could have had. 
719868,720279,411,True. ,
723187,723877,690,,Another six. 
723877,724359,482,Oh double six. ,
724359,724761,402,,Yeah.
725844,727074,1230,Five would have been better though. ,
729208,729735,527,,Yeah. 
731037,734255,3218,okay a one now and then I have caught up. ,
735875,736633,758,,True. 
736711,739519,2808,,Hahaha well. 
741563,743295,1732,Better luck next time. ,
744328,745725,1397,,Why are some of the squares?
746993,747943,950,,No never mind. 
749419,750265,846,What's that?,
750445,752237,1792,,No I realized something stupid. 
768858,770045,1187,,This is a frustrating game. 
770897,771547,650,Do you think so?,
773303,775730,2427,Do you think it is made to be frustrating. ,
776603,777235,632,,Maybe. 
777597,782773,5176,,I think it's made to break up family events and friendships. 
783749,785349,1600,,It would also make an amazing drinking game. 
794588,796149,1561,,Not for you though because you are a robot. 
797395,799676,2281,Yeah robots don't drink I'm afraid. ,
800429,804719,4290,We just get juiced up on electricity. ,
805049,805444,395,,Mmm. 
806408,809424,3016,But how would you go about implementing a drinking game for this?,
811770,813028,1258,,Ehh. 
816035,817507,1472,,I don't know lets see. 
817992,820201,2209,,Every time you take a step back. 
821535,822953,1418,,You.
823931,824648,717,,Take a drink. 
826194,826851,657,okay. ,
827202,833067,5865,Would you have it proportional to the snake length or just one shot per snake?,
834566,836401,1835,,Ehh one shot per snake I think. 
836619,839583,2964,,Otherwise it would be a very short game. 
839759,840404,645,Hahaha. ,
841497,842653,1156,Yeah that's probably true. ,
844902,846611,1709,Ah now you are back down with me. ,
847261,847707,446,,Yeah. 
850246,851176,930,,But I'm leaving you. 
851960,853198,1238,I hope not. ,
853696,854749,1053,,It's not you it's me.
856014,856740,726,Hahaha.,
858571,859488,917,But you missed the ladder. ,
859931,860762,831,And I'm going to take it. ,
862500,864215,1715,,Very slowly I see. 
864447,866992,2545,Yes two more ones and then we're there. ,
868397,869343,946,,Oops.
870187,872111,1924,,Oh well. You get another chance at the ladder. 
872584,873447,863,That's right. ,
874134,875171,1037,You have got to see the positive. ,
877081,878888,1807,,"It's a very crooked ladder, I almost fell of. "
879683,880376,693,Yeah. ,
880837,882567,1730,It's a horizontal ladder almost.,
884464,884954,490,Ahh. ,
885754,887477,1723,,You really like the low digits. 
888117,888819,702,Yeah. ,
889888,892354,2466,I mean I prefer binary you know. ,
892354,893321,967,,Yeah. 
893637,894411,774,That's were it's at. ,
894713,896788,2075,,I assume for you these are all in binary. 
897716,898453,737,,These numbers. 
898453,898812,359,Of course. ,
899031,899432,401,,Yeah. 
900541,905531,4990,okay unfortunately no one won but we are going to end it now because we are out of time. ,
905714,906208,494,,okay. 
