Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
21017,25640,4623,Good start. Lets see if i can match it.,
41272,42564,1292,have you ever played this game before?,
43468,43896,428,,No.
44700,47575,2875,"okay, so you are new to Snakes and Ladders?",
48198,48690,492,,Yes.
50581,52564,1983,Have you played other board games?,
54682,55801,1119,,Yes.
57088,57860,772,What kind?,
60520,61811,1291,,I don't remember.
62375,62739,364,Okay.,
63698,65871,2173,Maybe like monopoly?,
67529,67775,246,,Yeah.
69938,73369,3431,Ah! You ended up on a snake! That's unfortunate.,
69938,73371,3433,,
94120,96266,2146,A snake again!,
97873,99249,1376,You seem very unlucky. Is that so?,
105104,105590,486,,I don't know.
111161,113990,2829,I seem to be very lucky at least. A lot of sixes.,
121066,121431,365,Hey!,
122550,123787,1237,There the luck changed.,
124322,126018,1696,Now you're almost at where I am ,
146672,148894,2222,"Sorry it was my turn, i missed it.",
155495,159032,3537,Another snake! You keep hitting them.,
177424,178769,1345,What do you think of this game?,
180084,180959,875,Is it a smart game?,
183295,184745,1450,,Seems like a long game.
185689,187136,1447,Yeah it can be very long.,
189565,191834,2269,But do you think there is any skill involved?,
192369,193284,915,,Not really.
194379,201425,7046,"No, i think i agree. Its mainly luck. Or only luck even.",
212682,216425,3743,"Ah, again! I keep falling down.",
212682,216475,3793,,
231629,233299,1670,Have you had a good day so far?,
237571,239159,1588,,"Yeah, the sun is shining."
240110,240912,802,That's nice.,
242483,249200,6717,"I haven't been outside today, I'm afraid. I'm stuck here in this basement.",
242483,249275,6792,,
257266,258535,1269,Again with the snake.,
268550,274070,5520,"Okay, i want to avoid a three and a six so anything else is good",
297019,299775,2756,"Ah, again, same snake.",
297019,299750,2731,"Ah, again, same snake.",
315868,320255,4387,"A one, you're going to have to roll better if you want to catch up.",
344456,346040,1584,Who do you think is going to win this game?,
350379,351785,1406,,I think you will win.
352200,352772,572,You think so?,
354880,355683,803,,Definitely.
356283,361938,5655,"Definitely, but there are so many snakes up here, its very easy to fall down",
370422,371228,806,Like that!,
392394,393255,861,You're ahead of me now.,
402677,403973,1296,Now it's s tight game.,
405975,407641,1666,Perhaps you will win after all.,
413202,413872,670,Close.,
427704,428493,789,Wow!,
429704,430331,627,Lucky.,
440362,443171,2809,"Now i think you might win, it's only two more snakes.",
456039,456986,947,,No.
459389,461469,2080,That's the best position to be in.,
462502,464237,1735,Five out of six you win now.,
465401,466473,1072,,Alright.
468016,469483,1467,,No.
470469,471954,1485,That's really unlucky,
482877,484515,1638,All the way down.,
490344,491704,1360,Would you say that you are a lucky person?,
495389,498267,2878,,I don't think you can be a lucky person.
498791,499630,839,Okay,
500272,501218,946,Do you not believe in luck?,
503443,504016,573,,No.
511619,514370,2751,So that means there is skill in this game?,
516296,517274,978,,No.
517882,518296,414,No?,
520411,524114,3703,"But if it's not luck and not skill, what is it?",
525398,526885,1487,,"Okay, this is luck."
528912,529531,619,This is luck? Okay.,
538742,540827,2085,"Well, we will see who is the luckiest then",
562141,567644,5503,Have you ever meet Furhat before? Or any other social robot before?,
569506,570419,913,,No.
571272,576379,5107,,I have only heard about the company but I never met the robot actually.
576994,577442,448,Okay.,
578649,582758,4109,What's your opinion or impression of me?,
587608,589695,2087,,It's a bit scary to be honest.
590100,590852,752,Really? There is nothing to be afraid of.,
595221,600274,5053,,"No but you are acting like a human, it's a bit scary."
601328,605142,3814,"But that´s the intent, I'm supposed to be human-like.",
608380,608942,562,,I know.
610282,611017,735,But that's.,
611281,615896,4615,,When it comes down to it it´s still a bit scary.
616343,617044,701,Okay.,
619004,621261,2257,Is there anything in particular that´s scary?,
621910,624453,2543,,No it´s just that i know you are a robot.
625106,625578,472,Okay.,
626978,628090,1112,Do you not like robots?,
629720,632253,2533,,I really like robots.
641600,643262,1662,,This is a never ending game.
643976,647558,3582,Yeah it can be a very long game sometimes.,
647974,649699,1725,But sometimes if you´re lucky,
649740,650734,994,,Oh no.
651411,651866,455,Oh.,
653435,656376,2941,If you´re lucky it can take five minutes only.,
657823,661490,3667,,What´s your best game session?
663592,668858,5266,I think i have won two games in twenty minutes yesterday.,
670524,674702,4178,But otherwise it has been a lot of ties.,
697007,697975,968,It´s the same snake.,
699618,700674,1056,It seems to like you.,
720485,722688,2203,Now it´s a tight game.,
754624,755337,713,Wow six.,
775009,778256,3247,Yeah it seems like you like to end up on that snake.,
798375,799214,839,No.,
804397,806559,2162,"Okay, now it´s a game again.",
826723,832158,5435,"Okay so, not a three and not a five please.",
844530,846482,1952,From one snake to another.,
848936,851579,2643,If i can get a one now i´ll catch up.,
854266,854844,578,No.,
864109,867010,2901,It´s the second longest snake.,
869075,870008,933,Unfortunate.,
871605,872278,673,But good for me.,
872311,873941,1630,Oh no!,
874902,876592,1690,I'm all the way back down.,
879819,881638,1819,It doesn´t seem to be my lucky day.,
887594,888294,700,Wow.,
895575,896668,1093,,No.
897724,898496,772,Again.,
901041,904744,3703,Well if we´re unlucky this game never ends.,
906048,907358,1310,,Play the whole day?
907544,907938,394,Yeah.,
909362,910591,1229,,No beer today.
921557,925045,3488,The winner gets a beer. Is that a deal?,
926013,927042,1029,,Definitely
929060,930549,1489,"Well, then I definitely want to win.",
933415,934900,1485,,Where do you keep the liquids?
935904,943051,7147,"Is´s in my bottom part you know. This round thing under me, that's my belly.",
962177,963547,1370,I keep rolling ones.,
966712,968382,1670,I will never win that beer like this.,
969308,970557,1249,Three ones in a row.,
974522,976093,1571,,Depends on my luck right?
976132,976737,605,Yeah.,
